ANALYTE_NAME,DATA_SOURCE,MATRIX,NUMBER_OF_ROWS
"DDMU(p,p')","Tissue,WQ","samplewater,sediment,tissue",1279
COBD5,CIWQS,,1256
Perylene,"CIWQS,Tissue,WQ","samplewater,sediment,tissue",1241
Benzo(e)pyrene,"CIWQS,Tissue,WQ","samplewater,sediment,tissue",1235
PBDE 190,"Tissue,WQ","samplewater,sediment,tissue",1199
"Bacteroidales, Dog",WQ,"samplewater,sediment",1178
PBDE 138,"Tissue,WQ","samplewater,sediment,tissue",1157
"Catellicoccus, Gull",WQ,"samplewater,sediment",1140
Human Adenovirus ,WQ,"samplewater,sediment",1135
PBDE 085,"Tissue,WQ","samplewater,sediment,tissue",1131
"Dimethylnaphthalene, 2,6-","CIWQS,WQ","samplewater,sediment",1118
"Methylphenanthrene, 1-","Tissue,WQ","samplewater,sediment,tissue",1111
PBDE 030,"Tissue,WQ","samplewater,sediment,tissue",1105
PBDE 017,"Tissue,WQ","samplewater,sediment,tissue",1048
PBDE 206,"Tissue,WQ","samplewater,sediment,tissue",1003
PBDE 208,"Tissue,WQ","samplewater,sediment,tissue",989
PBDE 207,"Tissue,WQ","samplewater,sediment,tissue",970
PBDE 202,"Tissue,WQ","samplewater,sediment,tissue",922
PBDE 201,"Tissue,WQ","samplewater,sediment,tissue",916
PBDE 188,"Tissue,WQ","samplewater,sediment,tissue",907
PBDE 179,"Tissue,WQ","samplewater,sediment,tissue",907
"2-(2,4,5-Trichlorophenoxy)propionic Acid",CIWQS,,898
PBDE 203,"Tissue,WQ","samplewater,sediment,tissue",891
PBDE 184,"Tissue,WQ","samplewater,sediment,tissue",884
Hydroxide,"WQ,WQX",samplewater,844
Total PCBs,"CIWQS,Tissue,WQ,WQX","Samplewater,samplewater,sediment,tissue",835
Barometric Pressure,"Field,WQX","air,samplewater",811
"Dioxane, 1,4-",CIWQS,,805
PBDE 200,"Tissue,WQ","samplewater,sediment,tissue",802
Fipronil Desulfinyl Amide,WQ,"samplewater,samplewater, <0.7 um,samplewater, particulate, >0.70 um,sediment",771
ObservedFlow,Field,"runoff,samplewater",759
PBDE 049,"Tissue,WQ","samplewater,sediment,tissue",693
Salmonella,WQ,samplewater,685
Granule,WQ,"samplewater,sediment",685
StationWaterDepth,Field,samplewater,638
"Bacteroidales, Universal",WQ,samplewater,627
Blue-Green Algae Phycocyanin,Field,samplewater,609
Famoxadone,WQ,"samplewater,samplewater, <0.7 um,samplewater, particulate, >0.70 um",608
Cyhalothrin,WQ,"samplewater,samplewater, <0.7 um,samplewater, particulate, >0.70 um,sediment",604
Metconazole,WQ,"samplewater,samplewater, <0.7 um,samplewater, particulate, >0.70 um",580
Malaoxon,WQ,"samplewater,samplewater, <0.7 um,samplewater, particulate, >0.70 um",578
Tebupirimfos,WQ,"samplewater,samplewater, <0.7 um,samplewater, particulate, >0.70 um",578
Cyproconazole,WQ,"samplewater,samplewater, <0.7 um,samplewater, particulate, >0.70 um",578
Fenbuconazole,WQ,"samplewater,samplewater, <0.7 um,samplewater, particulate, >0.70 um",578
Fluoxastrobin,WQ,"samplewater,samplewater, <0.7 um,samplewater, particulate, >0.70 um",578
Triticonazole,WQ,"samplewater,samplewater, <0.7 um,samplewater, particulate, >0.70 um",578
Cyhalofop-butyl,WQ,"samplewater,samplewater, <0.7 um,samplewater, particulate, >0.70 um",578
Chlorpyrifos Oxon,WQ,"samplewater,samplewater, <0.7 um,samplewater, particulate, >0.70 um",578
Tebupirimfos oxon,WQ,"samplewater,samplewater, <0.7 um,samplewater, particulate, >0.70 um",578
Zoxamide,WQ,"samplewater,samplewater, <0.7 um,samplewater, particulate, >0.70 um",578
Flufenacet,WQ,"samplewater,samplewater, <0.7 um,samplewater, particulate, >0.70 um",578
Triallate ,WQ,"samplewater,samplewater, <0.7 um,samplewater, particulate, >0.70 um",578
Flumetralin,WQ,"samplewater,samplewater, <0.7 um,samplewater, particulate, >0.70 um",578
Triadimenol,WQ,"samplewater,samplewater, <0.7 um,samplewater, particulate, >0.70 um",578
Butralin,WQ,"samplewater,samplewater, <0.7 um,samplewater, particulate, >0.70 um",578
Pentachloroanisole,WQ,"samplewater,samplewater, <0.7 um,samplewater, particulate, >0.70 um",578
"Dichloroaniline, 3,5-",WQ,"samplewater,samplewater, <0.7 um,samplewater, particulate, >0.70 um",578
Dibenzothiophene,"Tissue,WQ","samplewater,sediment,tissue",575
"Dichlorobenzenamine, 3,4-",WQ,"samplewater,samplewater, <0.7 um,samplewater, particulate, >0.70 um",569
PBDE 028/33,"Tissue,WQ","samplewater,sediment,tissue",554
Fluxapyroxad,WQ,"samplewater,samplewater, <0.7 um,samplewater, particulate, >0.70 um",544
Periphyton Biomass Index,Field,Epilithic Periphyton,539
PCB 135/151,"CIWQS,WQ","Samplewater,samplewater,sediment",529
Diazoxon,WQ,"samplewater, <0.7 um,samplewater, particulate, >0.70 um",526
PBDE 075,"Tissue,WQ","samplewater,sediment,tissue",524
PCB 129/138/163,"CIWQS,WQ","Samplewater,samplewater,sediment",514
Perthane,"Tissue,WQ","samplewater,sediment,tissue",502
PBDE 015,"Tissue,WQ","samplewater,sediment,tissue",495
"Trimethylnaphthalene, 2,3,5-",WQ,"samplewater,sediment",487
PBDE 155,"Tissue,WQ","samplewater,sediment,tissue",486
PBDE 033,"Tissue,WQ","samplewater,sediment,tissue",483
"Trimethylnaphthalene, 1,6,7-",WQ,sediment,468
Sulfotep,"Tissue,WQ,WQX","samplewater,sediment,tissue",448
CBOD5,WQ,samplewater,444
Sedaxane,WQ,"samplewater,samplewater, <0.7 um,samplewater, particulate, >0.70 um",441
Ipconazole,WQ,"samplewater,samplewater, <0.7 um,samplewater, particulate, >0.70 um",441
Thionazin,"CIWQS,Tissue,WQ,WQX","samplewater,sediment,tissue",436
Famphur,"WQ,WQX",samplewater,436
Human Marker (HF183),WQ,samplewater,434
PBDE 209-13C12(IsoDilAnalogue),Tissue,tissue,430
PBDE 183-13C12(IsoDilAnalogue),Tissue,tissue,430
PBDE 154-13C12(IsoDilAnalogue),Tissue,tissue,430
PBDE 153-13C12(IsoDilAnalogue),Tissue,tissue,430
PBDE 047-13C12(IsoDilAnalogue),Tissue,tissue,430
PBDE 099-13C12(IsoDilAnalogue),Tissue,tissue,430
PBDE 100-13C12(IsoDilAnalogue),Tissue,tissue,430
PBDE 028-13C12(IsoDilAnalogue),Tissue,tissue,430
"Sulfide, Total","CIWQS,WQ","samplewater,sediment",425
Dichlofenthion,"Tissue,WQ,WQX","samplewater,sediment,tissue",425
"HxCDF, 1,2,3,7,8,9-","CIWQS,WQ",samplewater,424
Human_HF183TMCaMan,WQ,samplewater,421
"HxCDF, 1,2,3,6,7,8-","CIWQS,WQ",samplewater,421
"HxCDD, 1,2,3,4,7,8-","CIWQS,WQ",samplewater,420
"HpCDF, 1,2,3,4,7,8,9-","CIWQS,WQ",samplewater,418
"HxCDD, 1,2,3,6,7,8-","CIWQS,WQ",samplewater,413
"HxCDF, 1,2,3,4,7,8-","CIWQS,WQ",samplewater,410
Ruminant_Rum2Bac,WQ,samplewater,407
sand,WQ,sediment,405
"HpCDF, 1,2,3,4,6,7,8-","CIWQS,WQ",samplewater,405
"HxCDD, 1,2,3,7,8,9-","CIWQS,WQ",samplewater,404
"PeCDD, 1,2,3,7,8-","CIWQS,WQ",samplewater,404
"HxCDF, 2,3,4,6,7,8-","CIWQS,WQ",samplewater,401
"HpCDD, 1,2,3,4,6,7,8-","CIWQS,WQ",samplewater,400
Cryptosporidium,WQ,samplewater,399
"Dichlorophenyl-3-methyl Urea, 3,4-","WQ,WQX","samplewater,samplewater, <0.7 um",396
Giardia,WQ,samplewater,390
Calcium Bound Phosphorus,WQ,sediment,387
Gravel,WQ,sediment,382
"Phosphorus, Iron Bound",WQ,sediment,381
"Phosphorus, Inorganic",WQ,samplewater,377
"Phosphorus, loosely bound",WQ,sediment,376
Residual Phosphorus,WQ,sediment,368
Secchi Depth,"CIWQS,Field",samplewater,342
PCB 086/87/97/109/119/125,WQ,"Samplewater,samplewater,sediment",338
PCB 108/124,WQ,"Samplewater,samplewater,sediment",335
Ammonia as NH3,WQ,samplewater,334
"Dichlorophenyl Urea, 3,4-",WQ,"samplewater,samplewater, <0.7 um",334
PBDE 071,"Tissue,WQ","samplewater,sediment,tissue",334
Particulate Organic Carbon,"WQ,WQX","samplewater,samplewater, particulate, >0.70 um",334
Thiazopyr,WQ,"samplewater,samplewater, <0.7 um,samplewater, particulate, >0.70 um",326
Flusilazole,WQ,"samplewater,samplewater, <0.7 um,samplewater, particulate, >0.70 um",326
Tetradifon,WQ,"samplewater,samplewater, <0.7 um,samplewater, particulate, >0.70 um",326
TPH as Gasoline C6-C10,"WQ,WQX",samplewater,324
Perfluorooctanoate,"Tissue,WQ,WQX","samplewater,sediment,tissue",324
"Chlorine, Free",Field,"runoff,samplewater",318
Perfluorohexanesulfonate,"Tissue,WQ","samplewater,sediment,tissue",313
Perfluorobutanesulfonate,"Tissue,WQ","samplewater,sediment,tissue",313
Perfluorohexanoate,"Tissue,WQ","samplewater,sediment,tissue",313
Perfluoroheptanoate,"Tissue,WQ","samplewater,sediment,tissue",312
Perfluorooctanesulfonate,"Tissue,WQ,WQX","samplewater,sediment,tissue",312
Perfluorooctanesulfonamide,"Tissue,WQ","samplewater,sediment,tissue",310
Perfluoroundecanoate,"Tissue,WQ","samplewater,sediment,tissue",309
Perfluorododecanoate,"Tissue,WQ","samplewater,sediment,tissue",309
Perfluorodecanoate,"Tissue,WQ","samplewater,sediment,tissue",308
Perfluoropentanoate,"Tissue,WQ","samplewater,sediment,tissue",308
Perfluorobutanoate,"Tissue,WQ","samplewater,sediment,tissue",307
Perfluorononanoate,"Tissue,WQ","samplewater,sediment,tissue",306
HF183TMSIPP,WQ,samplewater,302
Tin,"CIWQS,WQ","samplewater,sediment",301
Silt + Clay,WQ,sediment,293
Ethaboxam,WQ,"samplewater,samplewater, <0.7 um",290
Desthio-prothioconazole,WQ,"samplewater,samplewater, <0.7 um",290
Cymoxanil,WQ,"samplewater,samplewater, <0.7 um",290
Fluopyram,WQ,"samplewater,samplewater, <0.7 um,samplewater, particulate, >0.70 um",280
"Dibenzothiophenes, C3-",WQ,"samplewater,sediment",273
"Dibenzothiophenes, C2-",WQ,"samplewater,sediment",270
Pyriproxyfen,WQ,"samplewater,samplewater, <0.7 um,samplewater, particulate, >0.70 um",258
Benzovindiflupyr,WQ,"samplewater, <0.7 um,samplewater, particulate, >0.70 um",252
Etoxazole,WQ,"samplewater, <0.7 um,samplewater, particulate, >0.70 um",252
Isofetamid,WQ,"samplewater, <0.7 um,samplewater, particulate, >0.70 um",252
Indaziflam,WQ,"samplewater, <0.7 um,samplewater, particulate, >0.70 um",252
Orthophosphate,CIWQS,,247
Galaxolide,WQ,"samplewater,sediment",243
Fine,WQ,"samplewater,sediment",241
Total Inorganic Carbon,WQ,"samplewater, particulate, >0.70 um",235
PCB 040/71,WQ,sediment,209
Caffeine,"WQ,WQX",samplewater,203
PBDE 105,"Tissue,WQ","samplewater,sediment,tissue",199
PBDE 128,"Tissue,WQ","samplewater,sediment,tissue",197
Fipronil Amide,WQ,"samplewater,sediment",192
Titanium,"WQ,WQX","samplewater,sediment",192
PBDE 035,"Tissue,WQ","samplewater,sediment,tissue",191
Gage Height,Field,samplewater,190
PCB AROCLOR 1262,"CIWQS,WQ",sediment,190
PCB 093/100,WQ,sediment,190
PCB 098/102,WQ,sediment,190
Bis(2-ethylhexyl)adipate,"CIWQS,WQ,WQX",samplewater,189
PBDE 181,"Tissue,WQ","samplewater,sediment,tissue",186
"Dimethylphenanthrene, 3,6-","Tissue,WQ","samplewater,sediment,tissue",185
"Dibenzothiophenes, C1-","Tissue,WQ","samplewater,sediment,tissue",184
"Hydroxycarbofuran, 3- ","WQ,WQX","samplewater,sediment",182
Sulfite as SO3,"CIWQS,WQ",samplewater,180
PBDE 010,"Tissue,WQ","samplewater,sediment,tissue",179
PCB AROCLOR 1268,WQ,sediment,177
PBDE 116,"Tissue,WQ","samplewater,sediment,tissue",176
TPH as Motor Oil C21-C32,WQ,samplewater,170
PBDE 077,"Tissue,WQ","samplewater,sediment,tissue",167
PBDE 032,"Tissue,WQ","samplewater,sediment,tissue",164
Dichloran,WQ,"samplewater,sediment",154
PBDE 079,"Tissue,WQ","samplewater,sediment,tissue",154
PCT AROCLOR 5460,WQ,sediment,153
PCT AROCLOR 5442,WQ,sediment,152
PCT AROCLOR 5432,WQ,sediment,152
"Cyhalothrin, Total",WQ,"samplewater, <0.7 um,samplewater, particulate, >0.70 um,sediment",151
PBDE 126,"Tissue,WQ","samplewater,sediment,tissue",151
Sucralose,WQ,samplewater,151
Decamethylcyclopentasiloxane,WQ,sediment,149
Octamethylcyclotetrasiloxane,WQ,sediment,149
Dodecamethylcyclohexasiloxane,WQ,sediment,149
PCB 093/98/100/102,WQ,"Samplewater,samplewater,sediment",145
Dog_DG37,WQ,samplewater,144
Gull_Gull2TM,WQ,samplewater,143
Not Characterized Fragment,WQ,"samplewater, particulate, > 212 um,samplewater, particulate, >1000 um,samplewater, particulate, >125 to 355 um,samplewater, particulate, >355 to 500 um,samplewater, particulate, >500 to 1000 um,sediment, >1 mm,sediment, >125 to 355 um,sediment, >355 to 500 um,sediment, >500 to 1000 um,sediment, >500 um",137
Polyethylene fragment,WQ,"samplewater, particulate, > 212 um,samplewater, particulate, >1000 um,samplewater, particulate, >125 to 355 um,samplewater, particulate, >355 to 500 um,samplewater, particulate, >500 to 1000 um,sediment, >125 to 355 um,sediment, >355 to 500 um,sediment, >500 to 1000 um,sediment, >500 um",135
"Methylphenol, 2-","CIWQS,WQ","samplewater,sediment",131
Nodularin,"Tissue,WQ","samplewater,tissue",130
PBDE 139-13C12(IsoDilAnalogue),Tissue,tissue,130
Acid Neutralizing Capacity,"WQ,WQX",samplewater,129
Carboxin,WQ,"samplewater, <0.7 um",128
Tricyclazole,WQ,"samplewater, <0.7 um",128
Flupyradifurone,WQ,"samplewater, <0.7 um",128
Oxathiapiprolin,WQ,"samplewater, <0.7 um",128
Thiamethoxam Degradate (NOA-407475),WQ,"samplewater, <0.7 um",128
Thiamethoxam Degradate (CGA-355190),WQ,"samplewater, <0.7 um",128
Sulfoxaflor,WQ,"samplewater, <0.7 um",128
Sum of HPAHs (Integral),WQ,sediment,125
Okadaic Acid,"Tissue,WQ","samplewater,tissue",124
Sum of LPAHs (Integral),WQ,sediment,123
"Nonylphenol, tech-",WQ,samplewater,121
"Nonylphenol, 4-n-",WQ,samplewater,121
Dibenzofuran,"CIWQS,Tissue",tissue,119
Selenate as Se,WQ,"samplewater,sediment",118
Selenite as Se,WQ,"samplewater,sediment",118
"Octylphenol, tert-4-",WQ,samplewater,117
"Octylphenol monoethoxylate, 4-n-",WQ,samplewater,117
"Nonylphenol monoethoxylate, 4-n-",WQ,samplewater,117
"Nonylphenol diethoxylate, tech-",WQ,samplewater,117
Nonylphenol monoethoxylate,WQ,samplewater,117
Neburon,"WQ,WQX",samplewater,117
"Octylphenol, 4-n-",WQ,samplewater,117
Not Characterized Fiber,WQ,"samplewater, particulate, >125 to 355 um,sediment, >1 mm,sediment, >125 to 355 um,sediment, >125 to 500 um,sediment, >355 to 500 um,sediment, >500 to 1000 um,sediment, >500 um",116
PBDE 119,"Tissue,WQ","samplewater,sediment,tissue",116
Gross Alpha,"CIWQS,WQ",samplewater,116
Fenuron,"WQ,WQX",samplewater,115
Cyanobacteria,WQ,samplewater,114
Naproxen,"WQ,WQX",samplewater,112
Anion-Cation Balance,"CIWQS,WQ,WQX",samplewater,111
"Dichloropropene, 1,1-","CIWQS,WQ,WQX",samplewater,110
Ibuprofen,"WQ,WQX",samplewater,109
PBDE 017/25,"Tissue,WQ","samplewater,sediment,tissue",107
PBDE 140,"Tissue,WQ","samplewater,sediment,tissue",107
PBDE 200/203,"Tissue,WQ","samplewater,sediment,tissue",107
PBDE 012,"Tissue,WQ","samplewater,sediment,tissue",107
Total Chlordanes,WQ,sediment,103
PBDE 037,"Tissue,WQ","samplewater,sediment,tissue",102
Barban,"WQ,WQX",samplewater,100
"Color, True","WQ,WQX",samplewater,100
Total Trichlorobiphenyls,"Tissue,WQ","samplewater,sediment,tissue",98
PCB 081 (TEQ ND=DL),"Tissue,WQ","samplewater,sediment,tissue",98
Total Hexachlorobiphenyls,"Tissue,WQ","samplewater,sediment,tissue",98
Total Monochlorobiphenyls,"Tissue,WQ","samplewater,sediment,tissue",98
Total Nonachlorobiphenyls,"Tissue,WQ","samplewater,sediment,tissue",98
Total Octachlorobiphenyls,"Tissue,WQ","samplewater,sediment,tissue",98
Total Heptachlorobiphenyls,"Tissue,WQ","samplewater,sediment,tissue",98
Total Pentachlorobiphenyls,"Tissue,WQ","samplewater,sediment,tissue",98
Total Tetrachlorobiphenyls,"Tissue,WQ","samplewater,sediment,tissue",98
PCB 105 (TEQ ND=DL),"Tissue,WQ","samplewater,sediment,tissue",98
PCB 114 (TEQ ND=DL),"Tissue,WQ","samplewater,sediment,tissue",98
PCB 118 (TEQ ND=DL),"Tissue,WQ","samplewater,sediment,tissue",98
PCB 123 (TEQ ND=DL),"Tissue,WQ","samplewater,sediment,tissue",98
PCB 126 (TEQ ND=DL),"Tissue,WQ","samplewater,sediment,tissue",98
PCB 156 (TEQ ND=DL),"Tissue,WQ","samplewater,sediment,tissue",98
PCB 167 (TEQ ND=DL),"Tissue,WQ","samplewater,sediment,tissue",98
PCB 169 (TEQ ND=DL),"Tissue,WQ","samplewater,sediment,tissue",98
PCB 189 (TEQ ND=DL),"Tissue,WQ","samplewater,sediment,tissue",98
PCB TOTAL (TEQ ND=0),"Tissue,WQ","samplewater,sediment,tissue",98
PCB TOTAL (TEQ ND=DL),"Tissue,WQ","samplewater,sediment,tissue",98
PCB 077 (TEQ ND=1/2 DL),"Tissue,WQ","samplewater,sediment,tissue",98
PCB 081 (TEQ ND=1/2 DL),"Tissue,WQ","samplewater,sediment,tissue",98
PCB 105 (TEQ ND=1/2 DL),"Tissue,WQ","samplewater,sediment,tissue",98
PCB 114 (TEQ ND=1/2 DL),"Tissue,WQ","samplewater,sediment,tissue",98
PCB 118 (TEQ ND=1/2 DL),"Tissue,WQ","samplewater,sediment,tissue",98
PCB 123 (TEQ ND=1/2 DL),"Tissue,WQ","samplewater,sediment,tissue",98
PCB 126 (TEQ ND=1/2 DL),"Tissue,WQ","samplewater,sediment,tissue",98
PCB 156 (TEQ ND=1/2 DL),"Tissue,WQ","samplewater,sediment,tissue",98
PCB 167 (TEQ ND=1/2 DL),"Tissue,WQ","samplewater,sediment,tissue",98
PCB 169 (TEQ ND=1/2 DL),"Tissue,WQ","samplewater,sediment,tissue",98
PCB 189 (TEQ ND=1/2 DL),"Tissue,WQ","samplewater,sediment,tissue",98
Total Dichlorobiphenyls,"Tissue,WQ","samplewater,sediment,tissue",98
PCB 077 (TEQ ND=0),"Tissue,WQ","samplewater,sediment,tissue",98
PCB 081 (TEQ ND=0),"Tissue,WQ","samplewater,sediment,tissue",98
PCB 105 (TEQ ND=0),"Tissue,WQ","samplewater,sediment,tissue",98
PCB 114 (TEQ ND=0),"Tissue,WQ","samplewater,sediment,tissue",98
PCB 118 (TEQ ND=0),"Tissue,WQ","samplewater,sediment,tissue",98
PCB 123 (TEQ ND=0),"Tissue,WQ","samplewater,sediment,tissue",98
PCB 126 (TEQ ND=0),"Tissue,WQ","samplewater,sediment,tissue",98
PCB 156 (TEQ ND=0),"Tissue,WQ","samplewater,sediment,tissue",98
PCB 167 (TEQ ND=0),"Tissue,WQ","samplewater,sediment,tissue",98
PCB 169 (TEQ ND=0),"Tissue,WQ","samplewater,sediment,tissue",98
PCB 189 (TEQ ND=0),"Tissue,WQ","samplewater,sediment,tissue",98
PCB 077 (TEQ ND=DL),"Tissue,WQ","samplewater,sediment,tissue",98
PCB TOTAL (TEQ ND=1/2 DL),"Tissue,WQ","samplewater,sediment,tissue",98
Triclosan,"WQ,WQX",samplewater,97
Gemfibrozil,"WQ,WQX",samplewater,97
Diclofenac,"WQ,WQX",samplewater,97
PBDE 205,"Tissue,WQ","samplewater,tissue",94
Polypropylene fragment,WQ,"samplewater, particulate, > 212 um,samplewater, particulate, >1000 um,samplewater, particulate, >125 to 355 um,samplewater, particulate, >355 to 500 um,samplewater, particulate, >500 to 1000 um,sediment, >1 mm,sediment, >125 to 355 um,sediment, >355 to 500 um,sediment, >500 um",93
Perfluoropentanesulfonate,"Tissue,WQ","samplewater,sediment,tissue",93
"Ethyl Perfluorooctane Sulfonamido Acetic Acid, N-","Tissue,WQ","samplewater,sediment,tissue",92
Perfluorononanesulfonate,"Tissue,WQ","samplewater,sediment,tissue",92
"Chlorohexadecafluoro-3-Oxanonane-1-Sulfonic Acid, 9-","Tissue,WQ","samplewater,sediment,tissue",92
"Chloroeicosafluoro-3-Oxaundecane-1-Sulfonic Acid, 11-","Tissue,WQ","samplewater,sediment,tissue",92
"Butyl-N-ethyl-2,6-dinitro-4-(trifluoromethyl)aniline, N-",WQ,samplewater,92
Perfluoroheptanesulfonate,"Tissue,WQ","samplewater,sediment,tissue",92
Perfluorododecanesulfonate,"Tissue,WQ","samplewater,sediment,tissue",92
"Fluorotelomer Sulfonate, 4:2-","Tissue,WQ","samplewater,sediment,tissue",92
"Fluorotelomer Sulfonate, 6:2-","Tissue,WQ","samplewater,sediment,tissue",92
"Fluorotelomer Sulfonate, 8:2-","Tissue,WQ","samplewater,sediment,tissue",92
"Ethyl-perfluorooctanesulfonamide, N-","Tissue,WQ","samplewater,sediment,tissue",92
"Methyl-perfluorooctanesulfonamide, N-","Tissue,WQ","samplewater,sediment,tissue",92
"Dioxa-3H-Perfluorononanoate Acid, 4,8-","Tissue,WQ","samplewater,sediment,tissue",92
Perfluorotridecanoate,"Tissue,WQ","samplewater,sediment,tissue",92
TPH as Diesel C12-C24,WQ,samplewater,92
Perfluorotetradecanoate,"Tissue,WQ","samplewater,sediment,tissue",92
Perfluorodecanesulfonate,"Tissue,WQ","samplewater,sediment,tissue",92
"Methyl Perfluorooctane Sulfonamido Acetic Acid, N-","Tissue,WQ","samplewater,sediment,tissue",92
Lithium,WQX,samplewater,88
"DDD(o,p')/PCB 118",WQ,sediment,87
"Nitroaniline, 2-","CIWQS,WQ",samplewater,87
"Diphenylanthracene, 9,10-",WQ,sediment,86
"Methyldibenzothiophene, 4-",WQ,"samplewater,sediment",86
Perfluoro-2-Propoxypropanoic Acid,"Tissue,WQ","samplewater,sediment,tissue",86
"Hexanone, 2-","CIWQS,WQ,WQX",samplewater,86
"Nitroaniline, 4-","CIWQS,WQ",samplewater,86
"Methylfluorene, 1-",WQ,"samplewater,sediment",86
"Methylfluoranthene, 2-",WQ,"samplewater,sediment",86
Trimethoprim,"WQ,WQX",samplewater,84
Meprobamate,"WQ,WQX",samplewater,84
Sulfamethoxazole,"WQ,WQX",samplewater,84
Carbamazepine,"WQ,WQX",samplewater,84
PBDE 007,"Tissue,WQ","samplewater,sediment,tissue",82
"Methylphenol, 3/4-","CIWQS,WQ","samplewater,sediment",82
clay,WQ,sediment,81
silt,WQ,sediment,81
PBDE 051,"Tissue,WQ","samplewater,sediment,tissue",81
